Req Set,ID,URL,Requirement,Conformance,Actor,Sub-Requirement(s),Conditionality,SMART App Launch STU2.2 Client Short ID(s),SMART App Launch STU2.2 Client Full ID(s),SMART App Launch STU2.2 Short ID(s),SMART App Launch STU2.2 Full ID(s)
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,15,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-pkce-support,SMART servers [supporting the [PKCE](https://tools.ietf.org/html/rfc7636)] … SHALL NOT support the `plain` method. ,SHALL NOT,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,16,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-cross-origin-resource-sharing-cors-support,"Servers that support purely browser-based apps SHALL enable [Cross-Origin Resource Sharing (CORS)](https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS) as follows: ... For requests from any origin, CORS configuration permits access to the public discovery endpoints (`.well-known/smart-configuration` and `metadata`)
",SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,17,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-cross-origin-resource-sharing-cors-support,"Servers that support purely browser-based apps SHALL enable [Cross-Origin Resource Sharing (CORS)](https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS) as follows: ... For requests from a client’s registered origin(s), CORS configuration permits access to the token endpoint and to FHIR REST API endpoints",SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,18,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#smart-authorization--fhir-access-overview,"[In the SMART APP Launch process] the complete URLs of all apps approved for use by users of this EHR [SHALL] ... have been registered with the EHR authorization server.

",SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,19,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#register-app-with-ehr,"
SMART does not specify a standards-based registration process, but we encourage EHR implementers to consider the [OAuth 2.0 Dynamic Client Registration Protocol](https://tools.ietf.org/html/rfc7591) for an out-of-the-box solution.",MAY,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,20,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request,"at registration time every SMART app SHALL:

Register zero or more fixed, fully-specified launch URL with the EHR’s authorization server",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,21,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request,"at registration time every SMART app SHALL: ...
Register one or more fixed, fully-specified `redirect_uri` s with the EHR’s authorization server.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,22,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request,"For confidential clients, additional registration-time requirements are defined based on the client authentication method. ... For asymmetric client authentication: a [JSON Web Key Set or JWSK URL](https://hl7.org/fhir/smart-app-launch/STU2.2/client-confidential-asymmetric.html#registering-a-client-communicating-public-keys) is established
",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,23,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request,"For confidential clients, additional registration-time requirements are defined based on the client authentication method. ...
For symmetric client authentication: a [client secret](https://hl7.org/fhir/smart-app-launch/STU2.2/client-confidential-symmetric.html) is established",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,24,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response,"The EHR confirms the app’s registration parameters and communicates a `client_id` to the app.
",SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,29,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#retrieve-well-knownsmart-configuration," the app discovers the EHR FHIR server’s SMART configuration metadata, including OAuth `authorization_endpoint` and `token_endpoint` URLs.
The discovery URL is constructed by appending .well-known/smart-configuration to the FHIR Base URL. The app issues an HTTP GET to the discovery URL with an Accept header supporting application/json.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,30,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-3,The EHR responds with a SMART configuration JSON document as described in the [Conformance](https://hl7.org/fhir/smart-app-launch/STU2.2/conformance.html) section.,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,31,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code … the EHR SHALL ensure that the `code_verifier` is present and valid when the code is exchanged for an access token.

",SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,32,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code … [the] `response_type` [parameter is] required [and SHALL contain the] fixed value: `code`.
",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,33,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,[When] the app constructs a request for an authorization code … [the] `client_id` [parameter is] required [and SHALL contain the] client's identifier [provided during registration].,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,34,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,[When] the app constructs a request for an authorization code...  [the] `redirect_uri`[parameter is] required [and] Must match one of the client's pre-registered redirect URIs,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,35,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code … [in the EHR Launch flow, the] `launch`[parameter is required, and] must match the launch value received from the EHR.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,36,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code …  [in the `Standalone Launch` flow, the] `launch` [parameter is] omitted ",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,37,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code [the] …  `scope` [parameter is] `required` [and m]ust describe the access that the app needs.
",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,39,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code [the] …  `state` [parameter is] `required` [and] The parameter SHALL be used for preventing cross-site request forgery or session fixation attacks

",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,40,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code [the] …  `state` [parameter is] `required` [and] ... The app SHALL use an unpredictable value for the state parameter with at least 122 bits of entropy (e.g., a properly configured random uuid is suitable).

",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,41,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code [the] …  `aud` [parameter is] `required`  ... [and SHALL contain the] URL of the EHR resource server from which the app wishes to retrieve FHIR data.   
(Note that in the case of an EHR launch flow, this `aud` value is the same as the launch's `iss` value.)",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,42,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,[When] the app constructs a request for an authorization code [the] …  servers SHALL support the `aud` parameter ,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,43,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,[When] the app constructs a request for an authorization code [the] …  servers MAY support a `resource` parameter as a synonym for `aud`.,MAY,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,44,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code [the] …  `code_challenge` [parameter is] `required`  ... [and] is generated by the app and used for the code challenge, as specified by [PKCE](https://tools.ietf.org/html/rfc7636).
See [considerations-for-pkce-support](https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#considerations-for-pkce-support).",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,45,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,[When] the app constructs a request for an authorization code [the] …  `code_challenge_method` [parameter is] `required`  ... [and Shall include the] Method used for the `code_challenge` parameter.,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,46,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When] the app constructs a request for an authorization code ... The app SHOULD limit its requested scopes to the minimum necessary (i.e., minimizing the requested data categories and the requested duration of access).",SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,47,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"[When an app requests an authorization code] If the app needs to authenticate the identity of or retrieve information about the end-user, it should include two OpenID Connect scopes: `openid` and `fhirUser`. When these scopes are requested and the request is granted, the app will receive an id_token along with the access token.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,48,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,Authorization Servers SHALL support the use of the HTTP GET ... at the Authorization Endpoint,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,49,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,Authorization Servers SHALL support the use of the HTTP .. POST ... at the Authorization Endpoint,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,50,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"Clients SHALL use either the HTTP GET or the HTTP POST method to send the Authorization Request to the Authorization Server.
",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,51,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"If [clients are] using the HTTP GET method [for Authorization Requests], the request parameters are serialized using URI Query String Serialization. ",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,52,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-4,"If [clients are] using the HTTP POST method [for Authorization Requests], the request parameters are serialized using Form Serialization and the application/x-www-form-urlencoded content type.",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,53,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,The EHR decides whether to grant ... access  [in response to an Authorization Request]. This decision is communicated to the app when the EHR authorization server returns an authorization code,SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,54,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,The EHR decides whether to ... deny access [in response to an Authorization Request]. This decision is communicated to the app when the EHR authorization server returns … an eror response,SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,56,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,[When responding to an authorization request] the code is sent when the EHR authorization server causes the browser to navigate to the app’s redirect_uri,SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,57,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,"[When] the EHR authorization server causes the browser to navigate to the app’s redirect_uri … [the] `code` [parameter is] required [and SHALL contain the] The authorization code generated by the authorization server. 
",SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,58,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,"[When] the EHR authorization server causes the browser to navigate to the app’s redirect_uri … [the  authorization code in the] `code` [parameter] ... needs to expire shortly after it is issued to mitigate the risk of leaks.
",SHOULD,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,59,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,[When] the EHR authorization server causes the browser to navigate to the app’s redirect_uri … [the] `state` [parameter is] required [and SHALL contain t]he exact value received from the client [in parameter of the same name on the authorization request]. ,SHALL,Server ,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,60,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,[When an authorization repsonse is received t]he app SHALL validate the value of the state parameter [sent by the server] upon return to the redirect URL [matches the value the client sent in the authroization request]. ,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,61,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-4,"The app…  SHALL ensure that the state value [associated with the authorization request and response] is securely tied to the user’s current session (e.g., by relating the state value to a session identifier issued by the app).",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,62,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,After obtaining an authorization code the app trades the code for an access token... [by issusing] an HTTP `POST` to the EHR authorization server’s token endpoint URL using content-type `application/x-www-form-urlencoded` as described in section 4.1.3 of [RFC6749](https://tools.ietf.org/html/rfc6749#section-4.1.3).,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,63,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,"For `public apps`, authentication is not required [when making requests to the token endpoint] because a client with no secret cannot prove its identity when it issues a call. (The end-to-end system can still be secure because the client comes from a known, https-protected endpoint specified and enforced by the redirect uri.)",SHALL NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,64,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,"For `confidential apps`, authentication is required [when making requests to the token endpoint]. ",SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,65,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,"Confidential clients SHOULD use [Asymmetric Authentication](https://hl7.org/fhir/smart-app-launch/STU2.2/client-confidential-asymmetric.html) [for authentication when making requests to the token endpoint] if available, ",SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,66,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,Confidential clients ... MAY use [Symmetric Authentication](https://hl7.org/fhir/smart-app-launch/STU2.2/client-confidential-symmetric.html) [for authentication when making requests to the token endpoint].,MAY,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,67,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[When an app requests an access token the] `grant_type`[parameter is] `required` [and SHALL contain the] fixed value: `authorization_code` ,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,68,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[When an app requests an access token the] `code`[parameter is] `required` [and SHALL contain the authorizaion c]ode that the app received from the authorization server,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,69,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[When an app requests an access token the] `redirect_uri`[parameter is] `required`[and SHALL contain the] same redirect_uri used in the initial authorization request ,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,70,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[When an app requests an access token the] `code_verifier`[parameter is] `required`[and SHALL be] ... used to verify against the `code_challenge` parameter previously provided in the authorize request.,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,71,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[When an app requests an access token the] `client_id`[parameter is] required for `public apps`,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,72,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-5,[when an app requests an access token the] `client_id`[parameter is] ...omit[ed] for `confidential apps`,SHALL NOT,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,73,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,The EHR authorization server SHALL return a JSON object that includes an access token or a message indicating that the authorization request has been denied.,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,74,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization server responds to an autorization token request the]  'access_token`[parameter is] `required` [and SHALL contain t]he access token issued by the authorization server,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,75,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization server responds to an autorization token request the] `token_type`[parameer is] `required` [and SHALL contain the f]ixed value: `Bearer`,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,76,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization server responds to an autorization token request the] `expires_in`[parameter is] `recommended`[and SHOULD contain the l]ifetime in seconds of the access token.,SHOULD,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,77,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization servers autorization token expires] the token SHALL NOT be accepted by the resource server,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,78,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization server responds to an autorization token request the] `scope`[parameter is] `required` [and SHALL contain the s]cope of access authorized. Note that this can be different from the scopes requested by the app.,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,79,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,[When the EHR Authorization server responds to an autorization token request the] `scope`[parameter is] can be different from the scopes requested by the app.,MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,80,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"[When the EHR Authorization server responds to an autorization token request the] `id_token`[parameter is] `optional` [and MAY contain a]uthenticated user identity and user details, if requested.",MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,81,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"[When the EHR Authorization server responds to an autorization token request the] `refresh_token`[parameter is] `optional` [and MAY contain the t]oken that can be used to obtain a new access token, using the same or a subset of the original authorization grants",MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,82,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"[When the EHR Authorization server responds to an autorization token request the] `authorization_details`[parameter is] `optional` [and MAY contain a]dditional details describing where this token can be used, and any per-location context ",MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,83,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"[When the EHR Authorization server responds to an autorization token request] if the app was launched from within a patient context, parameters to communicate the context values MAY BE included.",MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,84,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"[When the EHR Authorization server responds to an autorization token request t]he parameters are included in the entity-body of the HTTP response, as described in section 5.1 of [RFC6749](https://tools.ietf.org/html/rfc6749).",SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,85,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,The access token is a string of characters as defined in [RFC6749](https://tools.ietf.org/html/rfc6749) and [RFC6750](http://tools.ietf.org/html/rfc6750).,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,86,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,The authorization server’s response SHALL include the HTTP “Cache-Control” response header field with a value of “no-store”,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,87,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,The authorization server’s response SHALL include the HTTP ... “Pragma” response header field with a value of “no-cache”,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,88,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"The EHR authorization server decides what `expires_in` value to assign to an access token ... as defined in section 1.5 of [RFC6749](https://tools.ietf.org/html/rfc6749#page-10), along with the access token.",SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,89,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"The EHR authorization server decides ... whether to issue a refresh token, as defined in section 1.5 of [RFC6749](https://tools.ietf.org/html/rfc6749#page-10), along with the access token.",SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,90,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,"Apps SHOULD store tokens in app-specific storage locations only, and not in system-wide-discoverable locations.",SHOULD,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,91,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,Access tokens SHOULD have a valid lifetime no greater than one hour.,SHOULD,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,92,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-5,Confidential clients may be issued longer-lived tokens than public clients.,MAY,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,93,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#request-6,[When] fetch[ing] FHIR Resources… The [Client] app [SHALL} issue a request that includes an `Authorization` header that presents the `access_token` as a “Bearer” token,SHALL,Client,,,,,NA,NA
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,94,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-6,The resource server SHALL validate the access token and ensure that it has not expired,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,95,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-6,The resource server SHALL validate the access token and ensure that … its scope covers the requested resource.,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,96,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-6, The resource server also validates that the `aud` parameter associated with the authorization [request] ... matches the resource server’s own FHIR endpoint.,SHALL,Server,,,NA,NA,,
hl7.fhir.uv.smart-app-launch_2.2.0_Requirements,97,https://hl7.org/fhir/smart-app-launch/STU2.2/app-launch.html#response-6,"[When an app may receives] a FHIR resource that contains a “reference” to a resource hosted on a different resource server … [it] SHOULD NOT blindly follow such references and send along its access_token, as the token may be subject to potential theft.",SHOULD NOT,Client,,,,,NA,NA
